COD_BARRAS,PRODUTO_ID,NOMEORDER,FORNECEDOR,LOCALIZACAO,TRIBUTACAO,NCM,ALIQUOTA_NCM,CST_PIS,CST_COFINS,NATUREZA_RECEITA_PIS_COFINS,PADRAO_COMISSAO,DESCONTO_MAXIMO,QUANTIDADEORDER,TABELA,VENDA,PROMOCAO,VALOR_ULT_COMPRA,MARGEM,TOTAL_PRVENDA,TOTAL_PRPROMOCAO,TOTAL_PRCOMPRA,VALOR
7898317020223,18773,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
7898922219012,26419,VIT. VITA SEIVA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,"48.0,47",4,4,202,0,5,0,,"0.0,25",0,"0,819999993","52,43902572",0,0,0,"0.0,25"
789600624612,17894,VITA ANTI OX,UNIAO QUIMICA COMERCIAL,,18.0%,21069030,0,1,1,,0,10,0,,"32,74000168",0,"12,80000019","155,7812593",0,0,0,"32,74000168"
7896006246121,31041,VITA ANTI-OX,UNIAO QUIMICA COMERCIAL,,18.0%,21069030,32.000009,1,1,,0,10,0,,"41,22000122",0,"30,18000031","36,58051956",0,0,0,"41,22000122"
7898681550234,43802,VITA D STAR 1000UI 30 CPS GEL,PERFUMARIA HIGIENE E LIMPEZA,,18.0%,21069030,0,1,1,,0,0,0,,15,0,"7,039999962","113,068183",0,0,0,15
7896658001680,6992,VITA E 400 CX C/30 CPR,ACHE,,ST,30045090,32.000009,4,4,201,0,15,0,"47.0,15","47,15000153","29,89999962","26,26000023","13,86138369",0,0,0,"29,89999962"
7898398460192,19793,VITA HIDRAT D-PANTOL 240G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"7,150000095",0,"4.0,75","50,5263178",0,0,0,"7,150000095"
7898398460185,19794,VITA HIDRAT QUERATINA 240G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,0,0,,"9,979999542",0,"6,489999771","53,77503689",0,0,0,"9,979999542"
7896006227014,44344,VITA JR SOL ORAL FR 120 ML,UNIAO QUIMICA COMERCIAL,,18.0%,21069030,0,1,1,,3,15,0,,24,0,"9,579999924","150,5219227",0,0,0,24
7896006212409,31040,VITA K,UNIAO QUIMICA COMERCIAL,,ST,30045090,0,4,4,201,0,10,0,,"243,6399994",0,"120,8499985","101,6052979",0,0,0,"243,6399994"
7896422526906,44398,VITA MEDLEY ENERGIA CX C/ 60 CPS MOLE,MEDLEY / LOGISTICA,,18.0%,21069030,0,1,1,,0,15,0,,"27,89999962",0,"13,77000046","102,6143696",0,0,0,"27,89999962"
